t_wall,t_sim,x,y,z,qx,qy,qz,qw,gx,gy,gz,in1,in2,in3,in4
0.0000,5.25003,0.00000,0.00000,0.00000,0.00018,0.56891,-0.00038,-0.82240,-0.18087,-1.05531,0.03719,-1.00000,0.00000,0.00000,-0.00000
0.0051,5.26003,0.00000,0.00000,0.00000,0.00018,0.56891,-0.00038,-0.82240,-0.18246,-1.06076,0.03715,-1.00000,0.00000,0.00000,-0.00000
0.0190,5.27003,0.00000,0.00000,0.00000,0.00018,0.56890,-0.00038,-0.82240,-0.18134,-1.05807,0.03712,-1.00000,0.00000,0.00000,-0.00000
0.0260,5.28003,0.00000,0.00000,0.00000,0.00018,0.56890,-0.00038,-0.82241,-0.18123,-1.05751,0.03714,-1.00000,0.00000,0.00000,-0.00000
0.0398,5.29003,0.00000,0.00000,0.00000,0.00018,0.56890,-0.00038,-0.82241,-0.18121,-1.05741,0.03714,-1.00000,0.00000,0.00000,-0.00000
0.0468,5.30003,0.00000,0.00000,0.00000,0.00017,0.56890,-0.00038,-0.82241,-0.18088,-1.05905,0.03714,-1.00000,0.00000,0.00000,-0.00000
0.0607,5.31003,0.00000,0.00000,0.00000,0.00017,0.56890,-0.00038,-0.82241,-0.18125,-1.05774,0.03713,-1.00000,0.00000,0.00000,-0.00000
0.0676,5.32003,0.00000,0.00000,0.00000,0.00017,0.56889,-0.00038,-0.82241,-0.18120,-1.05744,0.03714,-1.00000,0.00000,0.00000,-0.00000
0.0815,5.33003,0.00000,0.00000,0.00000,0.00017,0.56889,-0.00038,-0.82241,-0.18119,-1.05739,0.03714,-1.00000,0.00000,0.00000,-0.00000
0.0884,5.34003,0.00000,0.00000,0.00000,0.00017,0.56889,-0.00038,-0.82241,-0.18117,-1.05737,0.03714,-1.00000,0.00000,0.00000,-0.00000
0.0954,5.35003,0.00000,0.00000,0.00000,0.00018,0.56889,-0.00038,-0.82242,-0.18117,-1.05737,0.03714,-1.00000,0.00000,0.00000,-0.00000
0.1094,5.36003,0.00000,0.00000,0.00000,0.00018,0.56888,-0.00038,-0.82242,-0.18116,-1.05737,0.03714,-1.00000,0.00000,0.00000,-0.00000
0.1165,5.37003,0.00000,0.00000,0.00000,0.00018,0.56888,-0.00038,-0.82242,-0.18116,-1.05736,0.03714,-1.00000,0.00000,0.00000,-0.00000
0.1305,5.38003,0.00000,0.00000,0.00000,0.00017,0.56888,-0.00038,-0.82242,-0.18010,-1.05934,0.03713,-1.00000,0.00000,0.00000,-0.00000
0.1375,5.39003,0.00000,0.00000,0.00000,0.00017,0.56888,-0.00038,-0.82242,-0.18122,-1.05784,0.03713,-1.00000,0.00000,0.00000,-0.00000
0.1514,5.40003,0.00000,0.00000,0.00003,0.00019,0.56893,-0.00041,-0.82239,0.09740,-1.35726,-0.37417,-1.00000,0.00000,0.00000,-0.00000
0.1584,5.41003,0.00000,-0.00000,0.00000,0.00015,0.56893,-0.00033,-0.82238,-0.54144,-0.88680,0.11775,-1.00000,0.00000,0.00000,-0.00000
